"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"DGIN","VanEck Digital India ETF","ETF","--","--","--","No","0.74%","0.74%","02/15/2022","+9.41%","--","--","+4.34%","+9.20%","--","--","+4.24%","04/30/2025","+2.68%","--","--","+2.87%","+0.94%","--","--","+2.75%","03/31/2025","India Equity","2 stars out of 24 funds","2 stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"KWT","iShares® MSCI Kuwait ETF","ETF","--","--","--","No","0.74%","0.74%","09/01/2020","+16.82%","--","--","+13.06%","+14.77%","--","--","+12.72%","04/30/2025","+13.23%","--","--","+12.98%","+12.75%","--","--","+13.09%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"INCO","Columbia India Consumer ETF","ETF","--","--","--","No","0.75%","0.77%","08/10/2011","+1.62%","+17.99%","+9.32%","+10.63%","+1.43%","+18.84%","+9.47%","+10.71%","04/30/2025","-2.93%","+19.70%","+7.93%","+10.19%","-4.34%","+19.57%","+7.80%","+10.21%","03/31/2025","India Equity","5 stars out of 24 funds","5 stars out of 24 funds","4 stars out of 21 funds","5 stars out of 17 funds","04/30/2025"
"INDF","Range India Financials ETF","ETF","--","--","--","No","0.75%","0.75%","10/20/2020","+12.78%","--","--","+14.86%","+12.77%","--","--","+14.89%","04/30/2025","+11.83%","--","--","+14.03%","+10.97%","--","--","+13.94%","03/31/2025","India Equity","5 stars out of 24 funds","5 stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"RNEM","First Trust Emerging Markets Equity Select ETF","ETF","--","--","--","No","0.75%","0.75%","06/20/2017","+6.49%","+8.92%","--","+3.82%","+6.11%","+8.63%","--","+3.71%","04/30/2025","+2.73%","+9.50%","--","+3.41%","+2.09%","+9.33%","--","+3.32%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"SMIN","iShares MSCI India Small-Cap ETF","ETF","--","--","--","No","0.75%","0.75%","02/08/2012","-0.87%","+23.34%","+9.42%","+9.62%","-1.48%","+24.28%","+9.38%","+9.45%","04/30/2025","+3.74%","+26.36%","+8.61%","+9.51%","+3.34%","+26.55%","+8.45%","+9.34%","03/31/2025","India Equity","3 stars out of 24 funds","3 stars out of 24 funds","5 stars out of 21 funds","2 stars out of 17 funds","04/30/2025"
"EMC","Global X Emerging Markets Great Consumer ETF","ETF","--","--","--","No","0.75%","0.75%","09/24/2010","+3.97%","-1.10%","+0.94%","+2.89%","+4.12%","-1.21%","+0.88%","+2.85%","04/30/2025","+1.03%","+0.55%","+1.29%","+2.82%","+1.21%","+0.53%","+1.28%","+2.81%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","1 stars out of 722 funds","1 stars out of 639 funds","2 stars out of 440 funds","04/30/2025"
"GBUY","Goldman Sachs Future Consumer Equity ETF","ETF","--","--","--","No","0.75%","0.75%","11/09/2021","+9.82%","--","--","-4.53%","+9.10%","--","--","-4.82%","04/30/2025","+5.20%","--","--","-5.01%","+5.15%","--","--","-5.05%","03/31/2025","Global Large-Stock Growth","2 stars out of 325 funds","2 stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"GSFP","Goldman Sachs Future Planet Equity ETF","ETF","--","--","--","Yes","0.75%","0.75%","07/13/2021","+3.63%","--","--","-4.85%","+3.67%","--","--","-4.92%","04/30/2025","-0.80%","--","--","-5.51%","-0.78%","--","--","-5.46%","03/31/2025","Global Large-Stock Growth","1 stars out of 325 funds","1 stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"PBD","Invesco Global Clean Energy ETF","ETF","--","--","--","Yes","0.75%","0.75%","06/13/2007","-17.65%","-2.29%","-0.10%","-3.24%","-17.33%","-2.34%","-0.14%","-3.28%","04/30/2025","-23.70%","-0.13%","+0.08%","-3.43%","-23.74%","-0.04%","+0.07%","-3.46%","03/31/2025","Global Small/Mid Stock","1 stars out of 166 funds","1 stars out of 166 funds","1 stars out of 144 funds","1 stars out of 88 funds","04/30/2025"
"AZTD","Aztlan Global Stock Selection Dm SMID ETF","ETF","--","--","--","No","0.75%","0.75%","08/17/2022","+15.71%","--","--","+7.71%","+15.96%","--","--","+7.56%","04/30/2025","+8.28%","--","--","+6.16%","+9.33%","--","--","+6.60%","03/31/2025","Global Small/Mid Stock","-- stars out of 166 funds","-- stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"BRAZ","Global X Brazil Active ETF","ETF","--","--","--","No","0.75%","0.75%","08/16/2023","-6.76%","--","--","-2.24%","-7.10%","--","--","-2.01%","04/30/2025","-16.59%","--","--","-5.53%","-16.59%","--","--","-5.19%","03/31/2025","Latin America Stock","-- stars out of 16 funds","-- stars out of 16 funds","-- stars out of 15 funds","-- stars out of 11 funds","04/30/2025"
"CGRO","CoreValues Alpha Greater China Growth ETF","ETF","--","--","--","No","0.75%","0.89%","10/02/2023","+25.89%","--","--","--","+26.50%","--","--","--","04/30/2025","+36.74%","--","--","--","+40.04%","--","--","--","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"EMDM","First Trust Bloomberg Emerging Market Democracies ETF","ETF","--","--","--","No","0.75%","0.75%","03/02/2023","+5.28%","--","--","+9.61%","+4.11%","--","--","+9.44%","04/30/2025","+1.04%","--","--","+8.32%","0.00%","--","--","+8.14%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"FTHF","First Trust Emerging Markets Human Flourishing ETF","ETF","--","--","--","No","0.75%","0.75%","10/30/2023","+3.96%","--","--","+13.33%","+3.16%","--","--","+13.16%","04/30/2025","-2.61%","--","--","+11.37%","-3.37%","--","--","+11.32%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"GEME","Pacific NoS Global EM Equity Active ETF","ETF","--","--","--","No","0.75%","0.75%","01/22/2025","--","--","--","+1.08%","--","--","--","+1.23%","04/30/2025","--","--","--","+2.40%","--","--","--","+5.90%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"GIND","Goldman Sachs India Equity ETF","ETF","--","--","--","No","0.75%","0.75%","04/01/2025","--","--","--","+3.88%","--","--","--","+4.20%","04/30/2025","--","--","--","--","--","--","--","--","--","India Equity","-- stars out of 24 funds","-- stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"IDVZ","Opal International Dividend Income ETF","ETF","--","--","--","No","0.75%","0.75%","12/26/2024","--","--","--","+12.90%","--","--","--","+13.30%","04/30/2025","--","--","--","+9.98%","--","--","--","+10.73%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"KSA","iShares MSCI Saudi Arabia ETF","ETF","--","--","--","No","0.75%","0.75%","09/16/2015","-3.19%","+11.52%","--","+7.56%","-2.76%","+12.11%","--","+7.17%","04/30/2025","-3.65%","+14.24%","--","+7.83%","-3.07%","+14.13%","--","+7.49%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"NSI","National Security Emerging Markets Index ETF","ETF","--","--","--","No","0.75%","0.75%","12/06/2023","+3.76%","--","--","+6.52%","+3.61%","--","--","+6.59%","04/30/2025","+0.91%","--","--","+5.55%","+1.05%","--","--","+5.66%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"KOCG","FIS Knights of Columbus Global Belief ETF","ETF","--","--","--","No","0.76%","0.76%","07/13/2021","+14.54%","--","--","+4.46%","+15.29%","--","--","+4.59%","04/30/2025","+9.21%","--","--","+4.16%","+10.80%","--","--","+4.56%","03/31/2025","Global Large-Stock Blend","3 stars out of 312 funds","3 stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"NBCE","Neuberger Berman China Equity ETF","ETF","--","--","--","No","0.76%","7.22%","10/13/2023","+6.26%","-3.56%","+0.54%","+4.88%","+6.28%","-3.45%","+0.60%","+4.94%","04/30/2025","+14.00%","-1.97%","+2.30%","+5.16%","+16.63%","-1.42%","+2.59%","+5.42%","03/31/2025","China Region","3 stars out of 83 funds","2 stars out of 83 funds","2 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"EMM","Global X Emerging Markets ex-China ETF","ETF","--","--","--","No","0.76%","0.76%","09/24/2010","-1.03%","+5.23%","+2.57%","+2.15%","-0.69%","+5.23%","+2.56%","+2.15%","04/30/2025","-6.88%","+6.24%","+2.50%","+1.91%","-6.83%","+6.24%","+2.50%","+1.91%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","1 stars out of 722 funds","2 stars out of 639 funds","2 stars out of 440 funds","04/30/2025"
"GLIN","VanEck India Growth Leaders ETF","ETF","--","--","--","No","0.76%","0.76%","08/24/2010","-3.69%","+15.58%","+1.21%","-2.78%","-4.42%","+16.03%","+1.27%","-2.79%","04/30/2025","-5.15%","+17.87%","+0.41%","-3.02%","-5.82%","+18.17%","+0.27%","-3.00%","03/31/2025","India Equity","1 stars out of 24 funds","2 stars out of 24 funds","1 stars out of 21 funds","1 stars out of 17 funds","04/30/2025"
"NDIA","Global X India Active ETF","ETF","--","--","--","No","0.76%","0.76%","08/17/2023","+8.17%","--","--","+14.75%","+8.34%","--","--","+14.80%","04/30/2025","+4.76%","--","--","+12.33%","+3.85%","--","--","+12.34%","03/31/2025","India Equity","-- stars out of 24 funds","-- stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"ADIV","SmartETFs Asia Pacific Dividend Builder ETF","ETF","--","--","--","No","0.78%","4.11%","03/31/2006","+16.02%","+9.66%","+5.68%","+6.06%","+17.20%","+9.66%","+5.68%","+6.06%","04/30/2025","+15.71%","+11.60%","+6.48%","+6.02%","+17.59%","+11.86%","+6.60%","+6.08%","03/31/2025","Pacific/Asia ex-Japan Stk","4 stars out of 38 funds","4 stars out of 38 funds","5 stars out of 37 funds","4 stars out of 27 funds","04/30/2025"
"PIN","Invesco India ETF","ETF","--","--","--","No","0.78%","0.78%","03/05/2008","+4.38%","+16.95%","+8.45%","+4.12%","+3.47%","+17.26%","+8.41%","+3.93%","04/30/2025","+2.23%","+19.58%","+7.44%","+3.91%","+1.41%","+19.54%","+7.26%","+3.73%","03/31/2025","India Equity","4 stars out of 24 funds","4 stars out of 24 funds","3 stars out of 21 funds","4 stars out of 17 funds","04/30/2025"
"KNO","AXS Knowledge Leaders ETF","ETF","--","--","--","No","0.78%","0.78%","07/07/2015","+7.54%","+8.74%","--","+7.36%","+7.38%","+8.72%","--","+7.35%","04/30/2025","+0.53%","+10.15%","--","+7.07%","+0.91%","+10.30%","--","+7.19%","03/31/2025","Global Large-Stock Blend","1 stars out of 312 funds","2 stars out of 312 funds","1 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"EFFE","Harbor Osmosis Emerging Markets Resource Efficient ETF","ETF","--","--","--","No","0.78%","0.78%","12/18/2024","--","--","--","+3.58%","--","--","--","+0.40%","04/30/2025","--","--","--","+2.65%","--","--","--","+5.83%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"KGRN","KraneShares MSCI China Clean Technology ETF","ETF","--","--","--","Yes","0.79%","0.79%","10/12/2017","+23.26%","+7.80%","--","+1.65%","+23.79%","+8.11%","--","+1.35%","04/30/2025","+27.07%","+9.96%","--","+1.95%","+28.64%","+10.12%","--","+1.86%","03/31/2025","China Region","2 stars out of 83 funds","1 stars out of 83 funds","3 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"ADVE","Matthews Asia Dividend Active ETF","ETF","--","--","--","No","0.79%","0.79%","09/21/2023","+9.49%","--","--","+9.83%","+10.18%","--","--","+9.98%","04/30/2025","+5.84%","--","--","+9.10%","+6.21%","--","--","+9.73%","03/31/2025","Diversified Pacific/Asia","-- stars out of 10 funds","-- stars out of 10 funds","-- stars out of 10 funds","-- stars out of 10 funds","04/30/2025"
"ASIA","Matthews Pacific Tiger Active ETF","ETF","--","--","--","No","0.79%","0.79%","09/21/2023","+3.06%","--","--","+3.17%","+3.50%","--","--","+2.84%","04/30/2025","+4.53%","--","--","+3.09%","+4.67%","--","--","+3.18%","03/31/2025","Pacific/Asia ex-Japan Stk","-- stars out of 38 funds","-- stars out of 38 funds","-- stars out of 37 funds","-- stars out of 27 funds","04/30/2025"
"EMSF","Matthews Emerging Markets Sustainable Future Active ETF","ETF","--","--","--","Yes","0.79%","0.79%","09/21/2023","-3.62%","--","--","+0.81%","-3.37%","--","--","+0.83%","04/30/2025","-3.90%","--","--","-0.52%","-3.71%","--","--","-0.02%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"INDE","Matthews India Active ETF","ETF","--","--","--","No","0.79%","0.79%","09/21/2023","+1.38%","--","--","+10.01%","+0.25%","--","--","+9.54%","04/30/2025","+0.20%","--","--","+7.60%","-1.99%","--","--","+6.82%","03/31/2025","India Equity","-- stars out of 24 funds","-- stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"JPAN","Matthews Japan Active ETF","ETF","--","--","--","No","0.79%","0.79%","09/21/2023","+13.89%","--","--","+18.67%","+14.21%","--","--","+18.60%","04/30/2025","+1.98%","--","--","+15.36%","+1.91%","--","--","+15.89%","03/31/2025","Japan Stock","-- stars out of 36 funds","-- stars out of 36 funds","-- stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
"MCH","Matthews China Active ETF","ETF","--","--","--","No","0.79%","0.79%","07/13/2022","+15.86%","--","--","-2.36%","+14.93%","--","--","-2.77%","04/30/2025","+32.41%","--","--","+0.10%","+31.27%","--","--","+0.11%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"MEM","Matthews Emerging Markets Equity Active ETF","ETF","--","--","--","No","0.79%","0.79%","07/13/2022","+8.04%","--","--","+9.03%","+8.49%","--","--","+9.03%","04/30/2025","+7.21%","--","--","+9.04%","+7.32%","--","--","+9.22%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"MEMX","Matthews Emerging Markets Ex China Active ETF","ETF","--","--","--","No","0.79%","0.79%","01/10/2023","+3.12%","--","--","+7.52%","+2.36%","--","--","+7.28%","04/30/2025","-2.08%","--","--","+6.30%","-2.85%","--","--","+6.24%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"MINV","Matthews Asia Innovators Active ETF","ETF","--","--","--","No","0.79%","0.79%","07/13/2022","+9.26%","--","--","+4.10%","+9.18%","--","--","+3.83%","04/30/2025","+11.49%","--","--","+4.73%","+11.26%","--","--","+4.71%","03/31/2025","Pacific/Asia ex-Japan Stk","-- stars out of 38 funds","-- stars out of 38 funds","-- stars out of 37 funds","-- stars out of 27 funds","04/30/2025"
"MKOR","Matthews Korea Active ETF","ETF","--","--","--","No","0.79%","0.79%","10/29/2010","-7.92%","+5.02%","+1.43%","+4.50%","-7.59%","+4.90%","+1.37%","+4.45%","04/30/2025","-15.03%","+5.85%","+1.81%","+4.16%","-14.14%","+5.92%","+1.84%","+4.18%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"TEMX","Touchstone Sands Capital Emerging Markets ex-China Growth ETF","ETF","--","--","--","No","0.79%","1.11%","02/24/2025","--","--","--","+0.54%","--","--","--","-4.34%","04/30/2025","--","--","--","-4.88%","--","--","--","-4.68%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"RAYD","Rayliant Quantitative Developed Market Equity ETF","ETF","--","--","--","No","0.80%","1.16%","12/15/2021","+22.61%","--","--","+9.82%","+22.31%","--","--","+9.73%","04/30/2025","+17.12%","--","--","+9.56%","+17.52%","--","--","+9.59%","03/31/2025","Global Large-Stock Blend","5 stars out of 312 funds","5 stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"FCA","First Trust China AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+12.28%","+2.54%","+0.49%","+1.02%","+12.19%","+2.80%","+0.08%","+0.75%","04/30/2025","+17.71%","+4.28%","+2.74%","+1.09%","+17.29%","+3.94%","+2.61%","+0.81%","03/31/2025","China Region","4 stars out of 83 funds","4 stars out of 83 funds","4 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"FLN","First Trust Latin America AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","-0.12%","+11.73%","+3.95%","+0.34%","+1.32%","+12.23%","+4.00%","+0.25%","04/30/2025","-11.40%","+12.31%","+4.23%","-0.10%","-12.23%","+12.29%","+4.18%","-0.34%","03/31/2025","Latin America Stock","4 stars out of 16 funds","4 stars out of 16 funds","4 stars out of 15 funds","3 stars out of 11 funds","04/30/2025"
"PIZ","Invesco Dorsey Wright Developed Markets Momentum ETF","ETF","--","--","--","No","0.80%","0.80%","12/28/2007","+26.27%","+12.58%","+6.46%","+4.62%","+27.18%","+12.66%","+6.45%","+4.55%","04/30/2025","+12.58%","+12.60%","+5.91%","+4.14%","+12.53%","+12.60%","+5.89%","+4.08%","03/31/2025","Foreign Large Growth","4 stars out of 368 funds","5 stars out of 368 funds","5 stars out of 333 funds","3 stars out of 220 funds","04/30/2025"
"FBZ","First Trust Brazil AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+2.18%","+10.79%","+4.64%","-0.93%","+1.77%","+10.85%","+4.64%","-1.19%","04/30/2025","-12.56%","+10.63%","+5.02%","-1.51%","-13.07%","+10.48%","+5.10%","-1.76%","03/31/2025","Latin America Stock","3 stars out of 16 funds","2 stars out of 16 funds","3 stars out of 15 funds","3 stars out of 11 funds","04/30/2025"
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","02/15/2012","-1.78%","+10.53%","+4.32%","+5.46%","-1.27%","+11.01%","+4.33%","+5.24%","04/30/2025","-0.94%","+13.21%","+5.50%","+5.51%","-0.51%","+13.28%","+5.53%","+5.27%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","4 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"FEP","First Trust Europe AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+20.70%","+12.63%","+5.97%","+5.52%","+20.52%","+12.73%","+5.93%","+5.01%","04/30/2025","+12.76%","+13.34%","+5.76%","+5.17%","+13.33%","+13.39%","+5.77%","+4.71%","03/31/2025","Europe Stock","3 stars out of 82 funds","2 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"FEUZ","First Trust Eurozone AlphaDEX® ETF","ETF","--","--","--","No","0.80%","0.80%","10/21/2014","+19.36%","+12.43%","+6.07%","+6.73%","+19.54%","+12.55%","+6.07%","+6.65%","04/30/2025","+11.54%","+12.82%","+5.84%","+6.23%","+11.92%","+13.07%","+5.92%","+6.16%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"FDT","First Trust Developed Markets Ex-US AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+15.66%","+10.60%","+4.34%","+4.04%","+15.90%","+10.75%","+4.35%","+3.92%","04/30/2025","+7.77%","+11.54%","+4.19%","+3.73%","+7.60%","+11.61%","+4.14%","+3.60%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","1 stars out of 337 funds","2 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"FDTS","First Trust Developed Markets ex-US Small Cap AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","02/15/2012","+10.97%","+11.67%","+4.78%","+5.63%","+10.59%","+11.45%","+4.69%","+5.38%","04/30/2025","+2.87%","+13.38%","+4.87%","+5.27%","+5.95%","+14.33%","+5.23%","+5.32%","03/31/2025","Foreign Small/Mid Value","2 stars out of 55 funds","1 stars out of 55 funds","2 stars out of 48 funds","2 stars out of 29 funds","04/30/2025"
"FEM","First Trust Emerging Markets AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","-0.34%","+7.49%","+2.59%","+1.54%","-1.25%","+7.76%","+2.62%","+1.39%","04/30/2025","+3.89%","+10.11%","+4.08%","+1.61%","+3.16%","+10.13%","+4.11%","+1.48%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","3 stars out of 639 funds","2 stars out of 440 funds","04/30/2025"
"FJP","First Trust Japan AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+9.07%","+8.24%","+3.10%","+4.21%","+8.41%","+8.14%","+3.09%","+4.12%","04/30/2025","+2.47%","+8.79%","+3.01%","+4.08%","+2.03%","+8.98%","+3.00%","+4.05%","03/31/2025","Japan Stock","2 stars out of 36 funds","3 stars out of 36 funds","3 stars out of 31 funds","1 stars out of 23 funds","04/30/2025"
"FPA","First Trust Asia Pacific Ex-Japan AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","04/18/2011","+15.30%","+9.61%","+2.22%","+3.00%","+16.20%","+10.21%","+2.27%","+2.85%","04/30/2025","+6.39%","+11.19%","+2.23%","+2.64%","+6.54%","+11.33%","+2.21%","+2.45%","03/31/2025","Pacific/Asia ex-Japan Stk","2 stars out of 38 funds","2 stars out of 38 funds","4 stars out of 37 funds","1 stars out of 27 funds","04/30/2025"
"RAYC","Rayliant Quantamental China Equity ETF","ETF","--","--","--","No","0.80%","1.34%","12/30/2020","+2.26%","--","--","-10.41%","+2.07%","--","--","-10.55%","04/30/2025","+11.58%","--","--","-9.79%","+11.54%","--","--","-9.84%","03/31/2025","China Region","2 stars out of 83 funds","2 stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"HDMV","First Trust Horizon Managed Volatility Developed International ETF","ETF","--","--","--","No","0.80%","0.80%","08/24/2016","+24.60%","+8.02%","--","+4.55%","+25.43%","+8.21%","--","+4.64%","04/30/2025","+13.68%","+7.57%","--","+3.81%","+13.02%","+7.56%","--","+3.80%","03/31/2025","Foreign Large Value","1 stars out of 337 funds","2 stars out of 337 funds","1 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"IPOS","Renaissance International IPO ETF","ETF","--","--","--","No","0.80%","0.80%","10/06/2014","-3.75%","-10.54%","-3.93%","-2.65%","-3.79%","-10.35%","-4.05%","-2.75%","04/30/2025","-5.39%","-9.58%","-3.78%","-3.07%","-5.72%","-9.47%","-3.92%","-3.14%","03/31/2025","Foreign Large Growth","1 stars out of 368 funds","1 stars out of 368 funds","1 stars out of 333 funds","1 stars out of 220 funds","04/30/2025"
"BCIL","Bancreek International Large Cap ETF","ETF","--","--","--","No","0.80%","0.90%","03/20/2024","+20.14%","--","--","+14.68%","+15.92%","--","--","+14.78%","04/30/2025","+6.43%","--","--","+6.45%","+6.81%","--","--","+7.19%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"COPY","Tweedy, Browne Insider + Value ETF","ETF","--","--","--","No","0.80%","0.80%","12/26/2024","--","--","--","+4.12%","--","--","--","+4.60%","04/30/2025","--","--","--","+2.59%","--","--","--","+3.30%","03/31/2025","Global Small/Mid Stock","-- stars out of 166 funds","-- stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"FGM","First Trust Germany AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","02/14/2012","+32.90%","+10.22%","+4.98%","+6.17%","+33.42%","+10.42%","+5.03%","+5.99%","04/30/2025","+17.79%","+11.01%","+4.20%","+5.57%","+17.07%","+10.99%","+4.16%","+5.31%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FKU","First Trust United Kingdom AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","02/14/2012","+19.79%","+13.23%","+3.56%","+6.12%","+20.48%","+13.34%","+3.52%","+5.86%","04/30/2025","+10.93%","+14.88%","+3.45%","+5.70%","+10.14%","+15.24%","+3.45%","+5.38%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FSZ","First Trust Switzerland AlphaDEX® Fund","ETF","--","--","--","No","0.80%","0.80%","02/14/2012","+20.92%","+12.42%","+7.74%","+9.05%","+20.38%","+12.45%","+7.66%","+8.86%","04/30/2025","+8.20%","+12.73%","+7.59%","+8.66%","+8.12%","+12.80%","+7.55%","+8.49%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"IGTR","Innovator Gradient Tactical Rotation Strategy ETF","ETF","--","--","--","No","0.80%","0.80%","11/16/2022","-8.41%","--","--","-0.37%","-7.88%","--","--","-0.38%","04/30/2025","-10.15%","--","--","+0.63%","-10.53%","--","--","+0.54%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"NFTY","First Trust India NIFTY 50 Equal Weight ETF","ETF","--","--","--","No","0.81%","0.81%","02/14/2012","+3.80%","+19.42%","+6.01%","+7.27%","+3.51%","+19.70%","+5.95%","+7.01%","04/30/2025","-0.34%","+21.92%","+6.00%","+6.96%","-0.74%","+22.00%","+6.07%","+6.77%","03/31/2025","India Equity","3 stars out of 24 funds","4 stars out of 24 funds","4 stars out of 21 funds","1 stars out of 17 funds","04/30/2025"
"RFDI","First Trust RiverFront Dynamic Developed International ETF","ETF","--","--","--","No","0.83%","0.83%","04/13/2016","+14.98%","+10.76%","--","+6.46%","+15.19%","+10.89%","--","+6.47%","04/30/2025","+8.48%","+11.56%","--","+6.12%","+8.73%","+11.75%","--","+6.17%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","2 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
